Year	TaxonKey	ID	IPrice_Mean	IPrice_CI	IPrice_N	IPrice_pval	MatchCode
2011	600203	2011:600203	2085.56919911171	598.682286048517	13	0.00451630552779241	TaxonKey:Match
2012	600203	2012:600203	1972.7663407339	663.611657474319	11	0.0139793879743641	TaxonKey:Match
2013	600203	2013:600203	2193.47646432208	666.166985369201	12	0.00717050196360987	TaxonKey:Match
2014	600203	2014:600203	2220.59837518536	683.787058316967	13	0.00698875573394908	TaxonKey:Match
2015	600203	2015:600203	2009.97041996299	618.183132551286	12	0.00771578909666457	TaxonKey:Match
2016	600203	2016:600203	2066.19161973643	607.841214028262	12	0.00593719405451665	TaxonKey:Match
2011	600439	2011:600439	12849.6427103259	4688.29937533709	15	0.0159304215047263	GenTGN:Match
2012	600439	2012:600439	21845.3217749563	2948.35126385415	12	1.34403219614145e-05	GenTGN:Match
2013	600439	2013:600439	20018.8823731007	5227.53054414949	11	0.00332151700012267	TaxonKey:Match
2014	600439	2014:600439	20838.4623578751	5392.66820726488	11	0.0031385797310357	TaxonKey:Match
2015	600439	2015:600439	19915.5353534944	4962.47360664017	11	0.00246519854798919	TaxonKey:Match
2016	600439	2016:600439	20801.9536981787	5092.38186713824	11	0.00219699861484118	TaxonKey:Match
2011	590010	2011:590010	7813.71517668975	1157.25144217603	18	3.38498885690123e-06	TaxonKey:Match
2012	590010	2012:590010	6900.10797484147	1133.62163529731	18	1.20917535483263e-05	TaxonKey:Match
2013	590010	2013:590010	7614.12175982529	1190.20329266901	19	5.04674561572232e-06	TaxonKey:Match
2014	590010	2014:590010	7117.92386812625	1182.54423394382	18	1.38086579297295e-05	TaxonKey:Match
2015	590010	2015:590010	7662.50141012883	1153.85847807961	18	4.17033500660812e-06	TaxonKey:Match
2016	590010	2016:590010	9261.41158441247	1161.27806783349	17	5.77335706452265e-07	TaxonKey:Match
2011	100039	2011:100039	2233.44073286331	303.911774709999	45	3.53195197985703e-09	TaxonKey:Match
2012	100039	2012:100039	1991.69231412356	271.215246749772	44	4.1066936902091e-09	TaxonKey:Match
2013	100039	2013:100039	2035.3567209678	259.296257199464	44	7.75186192264939e-10	TaxonKey:Match
2014	100039	2014:100039	2066.84523704418	270.862116293078	44	1.5909699458839e-09	TaxonKey:Match
2015	100039	2015:100039	2054.5745927681	269.734166862381	44	1.66375938941404e-09	TaxonKey:Match
2016	100039	2016:100039	2237.21432223116	290.119667854647	44	1.21986832197866e-09	TaxonKey:Match
2011	690088	2011:690088	6552.76684334756	942.683237921869	17	3.26413322555439e-06	GenTGN:Match
2012	690088	2012:690088	6144.44565810526	1018.97086712931	16	2.304271143019e-05	GenTGN:Match
2013	690088	2013:690088	7347.08347868093	1417.57697794193	11	0.000411378305183294	TaxonKey:Match
2014	690088	2014:690088	7876.19529926501	1132.31446996414	13	1.52605761328252e-05	TaxonKey:Match
2015	690088	2015:690088	7594.77606945471	1003.31219669875	15	2.59072883983501e-06	TaxonKey:Match
2016	690088	2016:690088	8712.61914375078	1032.34784309122	13	2.16531920902561e-06	TaxonKey:Match
2011	600115	2011:600115	3099.9556218459	646.730143518506	19	0.000145518329194328	TaxonKey:Match
2012	600115	2012:600115	2438.13333207391	545.381858648161	19	0.000295625356410792	TaxonKey:Match
2013	600115	2013:600115	3495.00281313238	835.638231093249	18	0.000624871372641458	TaxonKey:Match
2014	600115	2014:600115	3726.53811846862	683.915459587876	18	4.33280114661635e-05	TaxonKey:Match
2015	600115	2015:600115	4008.18663986863	782.006773115155	21	5.1539226845906e-05	TaxonKey:Match
2016	600115	2016:600115	4458.2556004502	772.314380092618	20	1.45974169517052e-05	TaxonKey:Match
2011	601043	2011:601043	1420.21925485886	415.989606052271	13	0.00513446206038513	TaxonKey:Match
2012	601043	2012:601043	1202.15717490472	348.550357337515	11	0.00623641129573138	TaxonKey:Match
2013	601043	2013:601043	1142.85215454388	212.738111238821	10	0.000449118623483443	TaxonKey:Match
2014	601043	2014:601043	998.985206853115	303.570103206447	11	0.00813916429239605	TaxonKey:Match
2015	601043	2015:601043	1358.13173787412	271.58407673443	10	0.000738183438874415	TaxonKey:Match
2016	601043	2016:601043	1113.55326032548	267.612412352039	10	0.00244383338842246	TaxonKey:Match
2011	500679	2011:500679	3851.29595537955	559.075657105325	10	7.15676727298717e-05	TaxonKey:Match
2012	500679	2012:500679	3096.94479554528	486.681701469416	18	7.06957998268198e-06	GenTGN:Match
2013	500679	2013:500679	3791.41104185459	425.687604676607	26	3.14398096241226e-09	GenTGN:Match
2014	500679	2014:500679	3804.78523878209	422.034001075939	25	3.57469242306518e-09	GenTGN:Match
2015	500679	2015:500679	3603.33723621933	415.163303125878	24	1.03038171377419e-08	GenTGN:Match
2016	500679	2016:500679	3599.81204280655	396.295194542454	22	1.01406746745035e-08	GenTGN:Match
2011	600035	2011:600035	10789.3313528864	1857.59431968163	15	4.537559974126e-05	TaxonKey:Match
2012	600035	2012:600035	12485.2422761875	2568.94428901502	16	0.000207938918505275	TaxonKey:Match
2013	600035	2013:600035	11306.0306588384	1931.87624234323	17	2.45197212313354e-05	TaxonKey:Match
2014	600035	2014:600035	8211.45751006405	1372.075344767	18	1.47788110978134e-05	TaxonKey:Match
2015	600035	2015:600035	9763.07869846948	2233.07724405151	17	0.000473998925288231	TaxonKey:Match
2016	600035	2016:600035	9546.17782888411	1873.7677677887	16	0.000131905636281747	TaxonKey:Match
2011	600066	2011:600066	1895.98771997077	323.247104888364	16	3.10581543571372e-05	TaxonKey:Match
2012	600066	2012:600066	2032.82033403058	413.654523991839	17	0.00015562630083318	TaxonKey:Match
